행정구역,2022년10월_계_총인구수,2022년10월_계_연령구간인구수,2022년10월_계_0세,2022년10월_계_1세,2022년10월_계_2세,2022년10월_계_3세,2022년10월_계_4세,2022년10월_계_5세,2022년10월_계_6세,2022년10월_계_7세,2022년10월_계_8세,2022년10월_계_9세,2022년10월_계_10세,2022년10월_계_11세,2022년10월_계_12세,2022년10월_계_13세,2022년10월_계_14세,2022년10월_계_15세,2022년10월_계_16세,2022년10월_계_17세,2022년10월_계_18세,2022년10월_계_19세,2022년10월_계_20세,2022년10월_계_21세,2022년10월_계_22세,2022년10월_계_23세,2022년10월_계_24세,2022년10월_계_25세,2022년10월_계_26세,2022년10월_계_27세,2022년10월_계_28세,2022년10월_계_29세,2022년10월_계_30세,2022년10월_계_31세,2022년10월_계_32세,2022년10월_계_33세,2022년10월_계_34세,2022년10월_계_35세,2022년10월_계_36세,2022년10월_계_37세,2022년10월_계_38세,2022년10월_계_39세,2022년10월_계_40세,2022년10월_계_41세,2022년10월_계_42세,2022년10월_계_43세,2022년10월_계_44세,2022년10월_계_45세,2022년10월_계_46세,2022년10월_계_47세,2022년10월_계_48세,2022년10월_계_49세,2022년10월_계_50세,2022년10월_계_51세,2022년10월_계_52세,2022년10월_계_53세,2022년10월_계_54세,2022년10월_계_55세,2022년10월_계_56세,2022년10월_계_57세,2022년10월_계_58세,2022년10월_계_59세,2022년10월_계_60세,2022년10월_계_61세,2022년10월_계_62세,2022년10월_계_63세,2022년10월_계_64세,2022년10월_계_65세,2022년10월_계_66세,2022년10월_계_67세,2022년10월_계_68세,2022년10월_계_69세,2022년10월_계_70세,2022년10월_계_71세,2022년10월_계_72세,2022년10월_계_73세,2022년10월_계_74세,2022년10월_계_75세,2022년10월_계_76세,2022년10월_계_77세,2022년10월_계_78세,2022년10월_계_79세,2022년10월_계_80세,2022년10월_계_81세,2022년10월_계_82세,2022년10월_계_83세,2022년10월_계_84세,2022년10월_계_85세,2022년10월_계_86세,2022년10월_계_87세,2022년10월_계_88세,2022년10월_계_89세,2022년10월_계_90세,2022년10월_계_91세,2022년10월_계_92세,2022년10월_계_93세,2022년10월_계_94세,2022년10월_계_95세,2022년10월_계_96세,2022년10월_계_97세,2022년10월_계_98세,2022년10월_계_99세,2022년10월_계_100세 이상
제주특별자치도 제주시 (5011000000),493459 ,493459 ,2658 ,3030 ,3226 ,3670 ,4026 ,4317 ,4842 ,5150 ,5369 ,5385 ,5838 ,5591 ,5346 ,5123 ,5220 ,5580 ,5006 ,4877 ,5216 ,5184 ,5078 ,5767 ,6259 ,5761 ,5925 ,5934 ,6179 ,6330 ,6373 ,6532 ,6472 ,5971 ,5709 ,5434 ,5297 ,5630 ,5840 ,6250 ,6587 ,7531 ,8411 ,8374 ,8486 ,8324 ,7184 ,7642 ,7444 ,7884 ,8919 ,8955 ,9210 ,9585 ,9025 ,8905 ,8719 ,8007 ,8103 ,7534 ,7272 ,7887 ,7307 ,7515 ,7447 ,6794 ,6192 ,6098 ,5470 ,5804 ,4463 ,3744 ,3978 ,3360 ,3321 ,3258 ,3424 ,3301 ,2917 ,2498 ,2629 ,2464 ,2479 ,2297 ,2048 ,1991 ,1813 ,1572 ,1406 ,1210 ,1113 ,999 ,742 ,567 ,504 ,389 ,246 ,170 ,104 ,100 ,54 ,145 ,143 
제주특별자치도 제주시 한림읍(5011025000),21055 ,21055 ,75 ,79 ,115 ,110 ,125 ,132 ,170 ,180 ,174 ,183 ,212 ,190 ,185 ,192 ,174 ,156 ,167 ,152 ,172 ,169 ,161 ,198 ,190 ,170 ,209 ,207 ,198 ,172 ,207 ,208 ,189 ,179 ,166 ,174 ,179 ,196 ,214 ,209 ,245 ,299 ,280 ,291 ,343 ,346 ,283 ,334 ,279 ,346 ,388 ,386 ,403 ,450 ,395 ,400 ,411 ,382 ,396 ,378 ,369 ,374 ,400 ,392 ,413 ,383 ,348 ,318 ,304 ,286 ,259 ,210 ,253 ,202 ,194 ,220 ,191 ,206 ,202 ,167 ,173 ,171 ,169 ,154 ,135 ,140 ,149 ,107 ,106 ,83 ,101 ,73 ,65 ,37 ,37 ,26 ,13 ,16 ,10 ,2 ,4 ,13 ,7 
제주특별자치도 제주시 애월읍(5011025300),37621 ,37621 ,190 ,218 ,248 ,262 ,290 ,350 ,395 ,430 ,426 ,498 ,472 ,433 ,396 ,390 ,361 ,390 ,314 ,268 ,288 ,270 ,309 ,310 ,341 ,307 ,336 ,330 ,353 ,357 ,351 ,403 ,409 ,341 ,374 ,353 ,343 ,386 ,429 ,482 ,561 ,586 ,705 ,660 ,684 ,725 ,614 ,615 ,602 ,634 ,700 ,663 ,687 ,729 ,695 ,702 ,711 ,598 ,643 ,670 ,594 ,672 ,614 ,635 ,599 ,557 ,517 ,534 ,405 ,521 ,358 ,302 ,313 ,319 ,287 ,278 ,277 ,278 ,268 ,199 ,237 ,243 ,207 ,225 ,216 ,220 ,163 ,170 ,134 ,112 ,117 ,113 ,86 ,58 ,51 ,39 ,36 ,20 ,13 ,11 ,4 ,17 ,15 
제주특별자치도 제주시 구좌읍(5011025600),15364 ,15364 ,48 ,44 ,68 ,69 ,68 ,79 ,81 ,102 ,124 ,122 ,110 ,146 ,104 ,115 ,122 ,106 ,95 ,108 ,131 ,107 ,113 ,115 ,129 ,127 ,120 ,119 ,110 ,140 ,145 ,125 ,112 ,132 ,122 ,115 ,118 ,151 ,134 ,163 ,165 ,222 ,256 ,234 ,244 ,215 ,238 ,229 ,218 ,225 ,265 ,257 ,280 ,299 ,309 ,287 ,280 ,269 ,281 ,254 ,256 ,306 ,296 ,289 ,298 ,260 ,259 ,275 ,214 ,275 ,195 ,163 ,194 ,155 ,150 ,180 ,179 ,164 ,176 ,135 ,122 ,124 ,140 ,149 ,144 ,145 ,136 ,103 ,104 ,96 ,84 ,79 ,68 ,48 ,46 ,30 ,16 ,13 ,8 ,6 ,4 ,4 ,10 
제주특별자치도 제주시 조천읍(5011025900),25742 ,25742 ,102 ,151 ,138 ,157 ,199 ,221 ,244 ,300 ,268 ,278 ,289 ,272 ,218 ,228 ,214 ,222 ,208 ,208 ,207 ,193 ,217 ,251 ,246 ,238 ,262 ,263 ,271 ,233 ,267 ,291 ,291 ,279 ,262 ,261 ,261 ,283 ,295 ,297 ,361 ,387 ,445 ,439 ,454 ,462 ,363 ,394 ,352 ,400 ,451 ,436 ,428 ,505 ,443 ,448 ,520 ,448 ,424 ,439 ,447 ,463 ,414 ,426 ,449 ,442 ,377 ,358 ,315 ,361 ,279 ,224 ,240 ,205 ,174 ,203 ,240 ,224 ,212 ,178 ,182 ,170 ,157 ,171 ,160 ,128 ,147 ,103 ,110 ,98 ,91 ,73 ,58 ,39 ,42 ,24 ,18 ,7 ,4 ,14 ,4 ,16 ,11 
제주특별자치도 제주시 한경면(5011031000),9476 ,9476 ,28 ,37 ,46 ,47 ,61 ,48 ,67 ,69 ,73 ,80 ,72 ,70 ,69 ,78 ,56 ,73 ,45 ,49 ,52 ,56 ,55 ,71 ,82 ,73 ,64 ,49 ,69 ,79 ,56 ,84 ,67 ,53 ,64 ,57 ,54 ,52 ,79 ,108 ,104 ,136 ,157 ,173 ,138 ,169 ,135 ,163 ,152 ,126 ,161 ,163 ,169 ,194 ,167 ,185 ,168 ,143 ,186 ,185 ,162 ,165 ,187 ,180 ,190 ,200 ,183 ,174 ,172 ,158 ,123 ,117 ,112 ,102 ,106 ,114 ,105 ,88 ,84 ,80 ,98 ,95 ,88 ,96 ,84 ,99 ,81 ,71 ,74 ,56 ,54 ,64 ,37 ,33 ,26 ,16 ,4 ,8 ,3 ,4 ,3 ,11 ,3 
제주특별자치도 제주시 추자면(5011032000),1568 ,1568 ,2 ,4 ,3 ,6 ,6 ,3 ,5 ,3 ,6 ,9 ,6 ,9 ,10 ,7 ,8 ,5 ,8 ,6 ,13 ,6 ,7 ,4 ,12 ,10 ,9 ,9 ,9 ,11 ,10 ,10 ,6 ,10 ,7 ,11 ,5 ,6 ,7 ,5 ,13 ,16 ,11 ,19 ,17 ,18 ,16 ,16 ,21 ,21 ,26 ,27 ,19 ,30 ,25 ,25 ,28 ,23 ,37 ,23 ,33 ,45 ,35 ,39 ,33 ,28 ,43 ,33 ,40 ,34 ,26 ,17 ,32 ,25 ,38 ,28 ,40 ,26 ,19 ,22 ,20 ,20 ,20 ,26 ,15 ,29 ,22 ,12 ,11 ,11 ,8 ,4 ,5 ,5 ,6 ,4 ,2 ,2 ,3 ,3 ,0 ,0 ,0 
제주특별자치도 제주시 우도면(5011033000),1667 ,1667 ,5 ,9 ,5 ,11 ,8 ,7 ,9 ,7 ,5 ,6 ,13 ,7 ,11 ,10 ,9 ,7 ,9 ,7 ,11 ,9 ,11 ,12 ,13 ,10 ,15 ,9 ,27 ,19 ,21 ,21 ,15 ,17 ,16 ,21 ,15 ,15 ,16 ,15 ,14 ,8 ,24 ,20 ,20 ,17 ,22 ,29 ,30 ,25 ,22 ,29 ,29 ,37 ,40 ,22 ,27 ,33 ,39 ,32 ,40 ,37 ,37 ,41 ,36 ,36 ,20 ,29 ,25 ,21 ,28 ,13 ,21 ,23 ,18 ,15 ,34 ,14 ,16 ,8 ,12 ,10 ,16 ,13 ,13 ,15 ,9 ,21 ,17 ,13 ,7 ,9 ,9 ,5 ,3 ,7 ,1 ,2 ,0 ,1 ,0 ,0 ,0 
제주특별자치도 제주시 일도1동(5011051000),2323 ,2323 ,3 ,2 ,2 ,9 ,4 ,15 ,10 ,8 ,13 ,11 ,12 ,10 ,11 ,11 ,9 ,15 ,18 ,10 ,18 ,13 ,14 ,15 ,20 ,20 ,22 ,17 ,28 ,15 ,21 ,17 ,24 ,20 ,24 ,22 ,15 ,17 ,24 ,20 ,22 ,25 ,24 ,17 ,27 ,39 ,24 ,21 ,40 ,36 ,35 ,41 ,37 ,24 ,35 ,45 ,47 ,57 ,47 ,47 ,50 ,54 ,40 ,57 ,55 ,52 ,53 ,59 ,45 ,56 ,51 ,33 ,38 ,34 ,23 ,34 ,35 ,33 ,31 ,27 ,21 ,29 ,18 ,16 ,19 ,22 ,7 ,10 ,15 ,9 ,11 ,7 ,7 ,4 ,5 ,5 ,0 ,1 ,3 ,2 ,2 ,0 ,1 
제주특별자치도 제주시 일도2동(5011052000),32070 ,32070 ,155 ,184 ,171 ,218 ,236 ,276 ,301 ,292 ,345 ,319 ,371 ,387 ,335 ,360 ,333 ,391 ,328 ,328 ,363 ,365 ,350 ,429 ,429 ,407 ,387 ,382 ,375 ,425 ,375 ,408 ,408 ,382 ,328 ,330 ,340 ,349 ,337 ,354 ,359 ,423 ,475 ,491 ,449 ,476 ,440 ,427 ,448 ,509 ,514 ,532 ,592 ,609 ,510 ,523 ,551 ,518 ,541 ,508 ,496 ,587 ,509 ,541 ,571 ,532 ,468 ,461 ,391 ,458 ,337 ,277 ,302 ,247 ,265 ,232 ,261 ,269 ,213 ,194 ,219 ,182 ,195 ,165 ,148 ,150 ,116 ,99 ,89 ,73 ,57 ,44 ,54 ,32 ,26 ,16 ,20 ,7 ,4 ,4 ,1 ,4 ,6 
제주특별자치도 제주시 이도1동(5011053000),7642 ,7642 ,27 ,36 ,31 ,32 ,40 ,47 ,39 ,64 ,65 ,70 ,77 ,58 ,68 ,72 ,67 ,82 ,79 ,61 ,95 ,92 ,86 ,89 ,98 ,100 ,116 ,105 ,115 ,122 ,129 ,106 ,105 ,102 ,115 ,90 ,82 ,93 ,72 ,87 ,73 ,100 ,118 ,114 ,93 ,107 ,80 ,106 ,100 ,105 ,110 ,127 ,139 ,139 ,118 ,133 ,130 ,126 ,132 ,114 ,133 ,132 ,131 ,126 ,135 ,132 ,119 ,108 ,91 ,104 ,85 ,61 ,81 ,69 ,64 ,70 ,52 ,64 ,53 ,43 ,46 ,42 ,40 ,50 ,44 ,44 ,34 ,41 ,28 ,22 ,29 ,29 ,18 ,5 ,10 ,7 ,7 ,3 ,4 ,0 ,0 ,4 ,4 
제주특별자치도 제주시 이도2동(5011054000),49288 ,49288 ,261 ,311 ,270 ,345 ,358 ,412 ,493 ,503 ,538 ,540 ,604 ,592 ,584 ,550 ,575 ,649 ,631 ,599 ,661 ,629 ,626 ,650 ,740 ,667 ,686 ,690 ,699 ,753 ,721 ,719 ,734 ,681 ,601 ,562 ,586 ,605 ,624 ,606 ,652 ,757 ,792 ,840 ,847 ,767 ,724 ,714 ,747 ,786 ,891 ,932 ,896 ,959 ,938 ,860 ,806 ,805 ,758 ,677 ,665 ,731 ,693 ,701 ,683 ,637 ,560 ,569 ,528 ,498 ,395 ,359 ,353 ,306 ,298 ,269 ,297 ,315 ,272 ,216 ,193 ,168 ,186 ,147 ,163 ,115 ,112 ,128 ,89 ,86 ,83 ,68 ,33 ,44 ,35 ,23 ,21 ,15 ,6 ,3 ,5 ,10 ,7 
제주특별자치도 제주시 삼도1동(5011055000),13214 ,13214 ,56 ,64 ,70 ,80 ,82 ,92 ,118 ,119 ,128 ,128 ,130 ,148 ,121 ,129 ,135 ,119 ,148 ,123 ,149 ,130 ,139 ,147 ,191 ,151 ,172 ,161 ,156 ,162 ,150 ,186 ,154 ,165 ,104 ,124 ,115 ,142 ,114 ,142 ,158 ,161 ,183 ,192 ,188 ,225 ,169 ,205 ,177 ,179 ,244 ,265 ,270 ,248 ,228 ,220 ,242 ,221 ,231 ,207 ,188 ,212 ,209 ,193 ,211 ,170 ,163 ,193 ,156 ,173 ,127 ,134 ,129 ,104 ,103 ,137 ,131 ,147 ,127 ,115 ,107 ,104 ,122 ,90 ,80 ,75 ,76 ,44 ,49 ,43 ,26 ,27 ,19 ,22 ,12 ,12 ,6 ,3 ,4 ,5 ,2 ,3 ,4 
제주특별자치도 제주시 삼도2동(5011056000),7831 ,7831 ,38 ,39 ,53 ,34 ,58 ,40 ,36 ,48 ,54 ,54 ,61 ,59 ,67 ,63 ,52 ,78 ,65 ,54 ,74 ,83 ,75 ,70 ,81 ,81 ,67 ,85 ,93 ,100 ,116 ,114 ,97 ,106 ,109 ,84 ,80 ,77 ,81 ,97 ,84 ,107 ,122 ,91 ,109 ,82 ,102 ,91 ,118 ,101 ,148 ,126 ,150 ,160 ,157 ,133 ,137 ,139 ,144 ,138 ,127 ,152 ,148 ,119 ,167 ,149 ,136 ,127 ,155 ,125 ,76 ,84 ,65 ,60 ,63 ,77 ,72 ,73 ,69 ,60 ,63 ,46 ,58 ,66 ,38 ,43 ,42 ,31 ,31 ,28 ,22 ,27 ,12 ,15 ,17 ,7 ,4 ,4 ,0 ,2 ,1 ,5 ,3 
제주특별자치도 제주시 용담1동(5011057000),6827 ,6827 ,15 ,19 ,24 ,30 ,33 ,35 ,42 ,37 ,51 ,52 ,61 ,49 ,61 ,51 ,59 ,74 ,54 ,59 ,73 ,68 ,60 ,87 ,75 ,70 ,85 ,89 ,78 ,87 ,101 ,66 ,71 ,72 ,65 ,60 ,55 ,64 ,65 ,65 ,57 ,72 ,74 ,73 ,98 ,89 ,85 ,87 ,105 ,109 ,133 ,127 ,139 ,130 ,145 ,120 ,132 ,134 ,126 ,112 ,103 ,141 ,122 ,136 ,149 ,114 ,111 ,101 ,113 ,89 ,90 ,70 ,81 ,59 ,71 ,74 ,67 ,69 ,55 ,74 ,61 ,47 ,52 ,57 ,45 ,39 ,32 ,32 ,24 ,25 ,23 ,21 ,17 ,14 ,12 ,8 ,4 ,2 ,1 ,2 ,2 ,3 ,6 
제주특별자치도 제주시 용담2동(5011058000),14230 ,14230 ,38 ,53 ,74 ,90 ,88 ,98 ,95 ,102 ,123 ,126 ,163 ,111 ,135 ,113 ,136 ,155 ,153 ,140 ,142 ,123 ,146 ,142 ,169 ,162 ,169 ,168 ,170 ,170 ,185 ,181 ,169 ,152 ,162 ,144 ,137 ,107 ,140 ,157 ,152 ,172 ,194 ,191 ,217 ,215 ,173 ,204 ,194 ,196 ,216 ,234 ,256 ,240 ,236 ,258 ,259 ,236 ,280 ,269 ,202 ,243 ,241 ,273 ,251 ,221 ,227 ,219 ,204 ,213 ,166 ,161 ,171 ,162 ,144 ,112 ,142 ,137 ,117 ,106 ,138 ,112 ,111 ,97 ,79 ,70 ,72 ,53 ,62 ,48 ,48 ,42 ,24 ,21 ,14 ,12 ,13 ,3 ,4 ,1 ,1 ,6 ,7 
제주특별자치도 제주시 건입동(5011059000),8835 ,8835 ,33 ,40 ,59 ,50 ,65 ,62 ,54 ,69 ,61 ,71 ,77 ,85 ,72 ,54 ,76 ,72 ,62 ,93 ,69 ,78 ,67 ,93 ,94 ,97 ,84 ,119 ,82 ,106 ,123 ,111 ,116 ,102 ,88 ,87 ,85 ,74 ,95 ,89 ,98 ,120 ,119 ,135 ,112 ,134 ,101 ,119 ,97 ,117 ,128 ,134 ,139 ,165 ,149 ,142 ,142 ,160 ,137 ,139 ,137 ,158 ,168 ,178 ,195 ,175 ,145 ,166 ,150 ,177 ,102 ,102 ,139 ,98 ,117 ,79 ,99 ,79 ,63 ,71 ,83 ,63 ,69 ,65 ,53 ,47 ,45 ,34 ,39 ,32 ,12 ,20 ,15 ,12 ,14 ,11 ,6 ,0 ,1 ,4 ,4 ,5 ,2 
