사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2022-10,1호선,0150,서울역,1307627,1279921,218542,210320
2022-10,1호선,0151,시청,638454,654541,119508,116903
2022-10,1호선,0152,종각,893135,864755,153798,143813
2022-10,1호선,0153,종로3가,499373,442702,319982,296084
2022-10,1호선,0154,종로5가,442041,447014,260373,250139
2022-10,1호선,0155,동대문,231006,219104,124571,124404
2022-10,1호선,0156,신설동,280677,270784,121048,116766
2022-10,1호선,0157,제기동,234930,222417,287970,309026
2022-10,1호선,0158,청량리(서울시립대입구),345240,346252,261608,265382
2022-10,1호선,0159,동묘앞,144243,154090,166501,169644
2022-10,2호선,0201,시청,615600,585843,64011,57360
2022-10,2호선,0202,을지로입구,1117722,1140577,103892,95993
2022-10,2호선,0203,을지로3가,575411,568927,77891,76037
2022-10,2호선,0204,을지로4가,292765,297553,79485,78742
2022-10,2호선,0205,동대문역사문화공원(DDP),360827,417562,57641,62966
2022-10,2호선,0206,신당,322718,337779,95107,96417
2022-10,2호선,0207,상왕십리,341048,324122,65807,66349
2022-10,2호선,0208,왕십리(성동구청),437696,362854,53676,45468
2022-10,2호선,0209,한양대,327403,361740,15792,16655
2022-10,2호선,0210,뚝섬,576341,610719,59863,60409
2022-10,2호선,0211,성수,924271,1026319,101576,103500
2022-10,2호선,0212,건대입구,989589,1068135,91708,95960
2022-10,2호선,0213,구의(광진구청),573836,554418,103930,104984
2022-10,2호선,0214,강변(동서울터미널),861528,822368,130477,127218
2022-10,2호선,0215,잠실나루,319912,308732,85070,84202
2022-10,2호선,0216,잠실(송파구청),2190921,2159810,218589,204196
2022-10,2호선,0217,잠실새내,534621,539428,111248,110998
2022-10,2호선,0218,종합운동장,354262,401709,58716,62041
2022-10,2호선,0219,삼성(무역센터),1346785,1364138,119778,111744
2022-10,2호선,0220,선릉,1249025,1107006,218529,193370
2022-10,2호선,0221,역삼,1148063,1316325,141520,144343
2022-10,2호선,0222,강남,2031810,1995096,154887,135269
2022-10,2호선,0223,교대(법원.검찰청),744179,846296,150210,170435
2022-10,2호선,0224,서초,520822,483619,85364,84846
2022-10,2호선,0225,방배,427900,444361,74477,74141
2022-10,2호선,0226,사당,961914,1089252,209979,202494
2022-10,2호선,0227,낙성대(강감찬),705022,679642,108915,110870
2022-10,2호선,0228,서울대입구(관악구청),1198157,1170291,179938,170672
2022-10,2호선,0229,봉천,537800,488633,150758,150139
2022-10,2호선,0230,신림,1483233,1414808,204439,203452
2022-10,2호선,0231,신대방,620908,594680,126387,127971
2022-10,2호선,0232,구로디지털단지,1437955,1427227,188435,189027
2022-10,2호선,0233,대림(구로구청),587083,600605,126030,130094
2022-10,2호선,0234,신도림,1243280,1260456,209288,198330
2022-10,2호선,0235,문래,504978,527052,87283,86646
2022-10,2호선,0236,영등포구청,497514,519766,99170,99096
2022-10,2호선,0237,당산,473287,557945,60812,66863
2022-10,2호선,0238,합정,882688,970477,71303,72703
2022-10,2호선,0239,홍대입구,1893368,2049931,98593,95267
2022-10,2호선,0240,신촌,1014647,1031122,121198,119001
2022-10,2호선,0241,이대,424861,455578,48748,50964
2022-10,2호선,0242,아현,246018,230988,64523,63926
2022-10,2호선,0243,충정로(경기대입구),226315,244857,49002,48888
2022-10,2호선,0244,용답,70917,71315,17714,17436
2022-10,2호선,0245,신답,37787,41202,10111,10988
2022-10,2호선,0246,신설동,78432,73766,33952,35054
2022-10,2호선,0247,도림천,27130,28264,8108,9093
2022-10,2호선,0248,양천구청,149941,153758,50659,51166
2022-10,2호선,0249,신정네거리,229346,231401,72702,73852
2022-10,2호선,0250,용두(동대문구청),44751,42967,22939,24060
2022-10,3호선,0309,지축,136179,129626,30757,29327
2022-10,3호선,0310,구파발,497416,488538,123757,119484
2022-10,3호선,0311,연신내,800861,750060,264701,254924
2022-10,3호선,0312,불광,342612,368645,141097,156992
2022-10,3호선,0313,녹번,370636,324161,79220,77842
2022-10,3호선,0314,홍제,384480,360409,144997,141974
2022-10,3호선,0315,무악재,84020,83764,30383,32710
2022-10,3호선,0316,독립문,156230,166702,70205,71062
2022-10,3호선,0317,경복궁(정부서울청사),697333,737426,121471,130412
2022-10,3호선,0318,안국,703206,735833,115889,118732
2022-10,3호선,0319,종로3가,220071,273296,59216,66685
2022-10,3호선,0320,을지로3가,251410,252269,48755,45997
2022-10,3호선,0321,충무로,46,0,6,0
2022-10,3호선,0322,동대입구,275536,313766,41622,47562
2022-10,3호선,0323,약수,298926,287666,84134,78999
2022-10,3호선,0324,금호,188426,172142,54420,53298
2022-10,3호선,0325,옥수,208875,212120,62147,62039
2022-10,3호선,0326,압구정,779128,859857,142395,141393
2022-10,3호선,0327,신사,758971,804175,70538,69295
2022-10,3호선,0328,잠원,113268,109328,30870,29493
2022-10,3호선,0329,고속터미널,1298048,1262602,204767,194517
2022-10,3호선,0330,교대(법원.검찰청),328410,215481,70730,43383
2022-10,3호선,0331,남부터미널(예술의전당),722843,737739,123923,124911
2022-10,3호선,0332,양재(서초구청),867845,962433,151557,152705
